Galaxy,Source No.,RA,Dec
,5212,09 56 47.42,+69 42 22.38
,5213,09 56 47.84,+69 41 27.79
,5214,09 56 48.48,+69 42 24.04
,5215,09 56 48.83,+69 42 24.51
,5216,09 56 49.28,+69 42 25.56
,5217,09 56 49.78,+69 41 29.39
,5218,09 56 49.79,+69 42 26.17
,5219,09 56 50.72,+69 42 27.81
,5220,09 56 51.94,+69 41 30.78
,5221,09 56 52.21,+69 42 30.26
,5222,09 56 52.60,+69 42 30.82
,5223,09 56 53.13,+69 42 58.22
,5224,09 56 53.30,+69 42 31.95
,5225,09 56 53.78,+69 42 32.85
,5226,09 56 55.06,+69 35 16.78
,5227,09 56 55.56,+69 42 35.91
,5228,09 56 55.71,+69 42 48.80
,5229,09 56 56.77,+69 42 37.73
,5230,09 56 57.37,+69 41 34.79
,5231,09 56 58.66,+69 38 52.64
,5232,09 57 00.11,+69 34 19.94
,5233,09 57 00.74,+69 42 45.00
,5234,09 57 00.75,+69 41 36.52
,5235,09 57 01.67,+69 41 37.47
,5236,09 57 02.47,+69 41 37.01
,5237,09 57 04.83,+69 41 39.84
,5238,09 57 06.60,+69 38 13.75
,5239,09 57 07.40,+69 41 41.66
,5240,09 57 07.64,+69 38 44.92
,5241,09 57 08.34,+69 30 29.74
,5242,09 57 09.39,+69 41 17.93
,5243,09 57 10.45,+69 41 43.48
,5244,09 57 11.58,+69 43 25.20
,5245,09 57 13.10,+69 41 45.26
,5246,09 57 13.93,+69 41 46.33
,5247,09 57 16.52,+69 41 45.86
,5248,09 57 20.34,+69 32 10.24
,5249,09 57 21.15,+69 37 55.10
,5250,09 57 22.37,+69 35 39.80
,5251,09 57 25.62,+69 36 09.76
,5252,09 57 26.65,+69 41 55.23
,5253,09 57 26.82,+69 38 47.31
,5254,09 57 28.46,+69 41 55.76
,5255,09 57 30.12,+69 41 57.18
,5256,09 57 30.23,+69 39 14.96
,5257,09 57 30.24,+69 43 26.65
,5258,09 57 33.50,+69 41 59.76
,5259,09 57 35.17,+69 42 00.99
,5260,09 57 36.58,+69 42 01.73
,5261,09 57 37.15,+69 37 54.78
,5262,09 57 38.29,+69 36 39.35
,5263,09 57 38.38,+69 42 03.23
,5264,09 57 39.26,+69 46 59.85
,5265,09 57 45.42,+69 42 07.89
,5266,09 57 50.34,+69 33 53.89
,5267,09 57 52.51,+69 42 12.36
,5268,09 57 52.67,+69 32 27.44
,5269,09 57 57.11,+69 42 16.40
,5270,09 58 01.83,+69 42 16.46
,5271,09 58 04.75,+69 42 19.90
,5272,09 58 11.09,+69 42 24.49
,5273,09 58 17.30,+69 26 42.61
,5274,09 58 56.38,+69 45 50.40
,5275,09 59 10.87,+69 32 20.55
,5276,10 00 11.74,+69 49 53.81
,5277,10 00 11.89,+69 44 43.30
,5278,10 00 17.61,+69 43 23.37
,5279,10 00 20.46,+69 42 13.06
,5280,10 00 42.23,+69 45 59.37
,5281,10 00 43.87,+69 45 10.65
,5282,10 00 44.64,+69 44 57.77
,5283,10 01 04.47,+69 43 08.84
M83,5284,13 35 47.45,-29 52 08.22
,5285,13 36 11.63,-29 45 14.22
,5286,13 36 11.78,-29 43 37.46
,5287,13 36 13.39,-29 59 37.55
,5288,13 36 14.12,-29 56 11.59
,5289,13 36 15.52,-29 57 57.40
,5290,13 36 16.57,-29 43 59.06
,5291,13 36 17.30,-29 53 14.05
,5292,13 36 20.07,-29 51 05.21
,5293,13 36 21.46,-29 56 47.77
,5294,13 36 23.03,-29 55 18.28
,5295,13 36 24.30,-29 54 01.25
,5296,13 36 26.69,-29 55 34.40
,5297,13 36 28.72,-29 57 19.65
,5298,13 36 28.98,-29 55 38.44
,5299,13 36 29.13,-29 51 21.50
,5300,13 36 30.97,-29 45 53.49
,5301,13 36 31.69,-29 57 09.65
,5302,13 36 33.17,-30 03 38.70
,5303,13 36 33.51,-30 00 19.69
,5304,13 36 36.02,-29 51 18.06
,5305,13 36 36.21,-29 40 19.50
,5306,13 36 36.79,-29 45 20.12
,5307,13 36 36.79,-29 50 22.42
,5308,13 36 36.84,-29 50 18.46
,5309,13 36 37.18,-29 44 41.38
,5310,13 36 37.43,-29 54 09.62
,5311,13 36 37.67,-29 52 36.10
,5312,13 36 38.60,-29 55 54.25
,5313,13 36 39.03,-29 47 44.30
,5314,13 36 39.18,-30 04 06.95
,5315,13 36 40.20,-29 59 51.59
,5316,13 36 40.58,-29 54 54.97
,5317,13 36 41.03,-29 51 12.01
,5318,13 36 41.10,-29 51 08.65
,5319,13 36 41.48,-29 50 44.38
,5320,13 36 42.69,-29 56 53.25
,5321,13 36 42.96,-29 52 54.46
,5322,13 36 43.20,-29 49 53.31
,5323,13 36 43.23,-29 50 54.40
,5324,13 36 43.49,-29 49 21.77
,5325,13 36 43.53,-29 51 07.02
,5326,13 36 44.61,-29 50 18.30
,5327,13 36 45.77,-29 59 09.76
,5328,13 36 45.82,-30 03 25.08
,5329,13 36 46.04,-29 46 00.08
,5330,13 36 46.14,-29 47 32.66
,5331,13 36 48.02,-29 53 24.50
,5332,13 36 48.12,-29 46 49.29
,5333,13 36 48.15,-29 51 37.77
,5334,13 36 48.73,-29 52 29.94
,5335,13 36 49.10,-29 52 58.58
,5336,13 36 49.20,-29 51 24.92
,5337,13 36 49.21,-29 53 02.84
,5338,13 36 49.45,-29 50 13.79
,5339,13 36 49.92,-29 52 59.62
,5340,13 36 49.94,-29 55 13.09
,5341,13 36 50.59,-29 45 33.42
,5342,13 36 51.20,-29 50 42.89
,5343,13 36 51.22,-29 59 56.93
,5344,13 36 51.46,-29 50 43.40
,5345,13 36 51.52,-29 51 43.50
,5346,13 36 51.66,-29 53 35.15
,5347,13 36 51.78,-29 54 31.09
,5348,13 36 52.22,-29 46 40.80
,5349,13 36 52.30,-29 49 20.24
,5350,13 36 52.32,-29 47 12.06
,5351,13 36 52.34,-29 50 46.50
,5352,13 36 52.55,-29 55 30.33
,5353,13 36 52.82,-29 52 31.69
,5354,13 36 52.87,-29 51 37.48
,5355,13 36 52.88,-29 53 16.18
,5356,13 36 53.13,-29 50 02.28
,5357,13 36 53.13,-29 54 30.40
,5358,13 36 53.23,-29 53 24.93
,5359,13 36 53.30,-29 52 42.36
,5360,13 36 53.49,-29 48 22.09
,5361,13 36 53.59,-29 56 00.67
,5362,13 36 53.61,-29 53 36.64
,5363,13 36 53.68,-29 54 47.94
,5364,13 36 53.93,-29 51 14.84
,5365,13 36 54.10,-29 49 33.27
,5366,13 36 54.31,-29 51 43.85
,5367,13 36 55.07,-29 53 11.20
,5368,13 36 55.22,-29 54 03.30
,5369,13 36 55.38,-29 48 41.19
,5370,13 36 55.48,-29 55 09.77
,5371,13 36 55.58,-29 53 03.65
,5372,13 36 56.23,-29 52 55.11
,5373,13 36 56.35,-29 56 52.10
,5374,13 36 56.39,-29 48 17.82
,5375,13 36 56.44,-29 45 46.86
,5376,13 36 56.64,-29 49 12.50
,5377,13 36 56.68,-29 57 11.41
,5378,13 36 56.70,-29 53 21.96
,5379,13 36 57.25,-29 51 47.26
,5380,13 36 57.28,-29 53 39.54
,5381,13 36 57.30,-29 50 31.96
,5382,13 36 57.49,-29 47 29.14
,5383,13 36 57.54,-29 40 46.01
,5384,13 36 57.70,-29 50 39.47
,5385,13 36 57.80,-29 50 42.91
,5386,13 36 57.88,-29 53 02.53
,5387,13 36 57.91,-29 49 23.47
,5388,13 36 58.21,-29 51 24.50
,5389,13 36 58.23,-29 52 15.93
,5390,13 36 58.29,-29 48 33.27
,5391,13 36 58.39,-29 51 04.80
,5392,13 36 58.64,-29 52 46.43
,5393,13 36 58.69,-29 43 36.23
,5394,13 36 58.78,-29 48 32.49
,5395,13 36 58.85,-29 44 33.37
,5396,13 36 58.92,-29 50 38.49
,5397,13 36 59.46,-29 49 59.17
,5398,13 36 59.49,-30 00 55.32
,5399,13 36 59.59,-29 54 13.74
,5400,13 36 59.68,-29 51 08.83
,5401,13 36 59.78,-29 52 05.54
,5402,13 36 59.98,-29 51 50.39
,5403,13 37 00.01,-29 51 57.01
,5404,13 37 00.05,-29 52 18.35
,5405,13 37 00.07,-29 51 37.99
,5406,13 37 00.09,-29 53 29.75
,5407,13 37 00.27,-29 51 52.40
,5408,13 37 00.35,-29 51 49.72
,5409,13 37 00.40,-29 51 59.34
,5410,13 37 00.51,-29 51 55.92
,5411,13 37 00.60,-29 51 46.98
,5412,13 37 00.64,-29 53 19.79
,5413,13 37 00.69,-29 52 06.47
,5414,13 37 00.88,-29 51 56.06
,5415,13 37 00.94,-29 52 02.86
,5416,13 37 01.06,-29 52 45.60
,5417,13 37 01.12,-29 51 52.13
,5418,13 37 01.24,-29 52 01.83
,5419,13 37 01.27,-29 51 59.91
,5420,13 37 01.30,-29 51 39.25
,5421,13 37 01.31,-29 51 36.61
,5422,13 37 01.48,-29 53 26.55
,5423,13 37 01.63,-29 51 28.35
,5424,13 37 01.64,-29 47 42.91
,5425,13 37 02.02,-29 55 18.00
,5426,13 37 02.15,-29 55 05.92
,5427,13 37 02.20,-29 51 44.20
,5428,13 37 02.22,-29 49 52.76
,5429,13 37 02.27,-29 48 32.33
,5430,13 37 02.30,-29 51 23.35
,5431,13 37 02.43,-29 44 24.78
,5432,13 37 02.43,-29 51 26.20
,5433,13 37 02.46,-29 53 19.14
,5434,13 37 02.49,-29 53 45.22
,5435,13 37 02.62,-29 48 24.65
,5436,13 37 02.89,-29 57 38.07
,5437,13 37 03.03,-29 49 45.55
,5438,13 37 03.29,-29 52 26.77
,5439,13 37 03.56,-29 53 19.85
,5440,13 37 03.58,-29 49 40.99
,5441,13 37 03.88,-29 49 30.45
,5442,13 37 04.29,-29 54 03.64
,5443,13 37 04.37,-29 51 30.81
,5444,13 37 04.38,-29 51 21.60
,5445,13 37 04.64,-29 51 20.56
,5446,13 37 04.67,-29 50 54.34
,5447,13 37 04.71,-29 50 40.22
,5448,13 37 04.75,-29 48 51.98
,5449,13 37 05.13,-29 52 07.15
,5450,13 37 05.44,-29 54 09.73
,5451,13 37 05.47,-29 52 34.11
,5452,13 37 05.60,-29 47 28.61
,5453,13 37 05.65,-29 57 58.49
,5454,13 37 05.83,-29 48 21.65
,5455,13 37 06.00,-29 51 59.24
,5456,13 37 06.60,-29 49 44.23
,5457,13 37 06.65,-29 53 32.94
,5458,13 37 06.73,-29 49 47.80
,5459,13 37 07.11,-29 51 01.71
,5460,13 37 07.13,-29 52 02.41
,5461,13 37 07.31,-29 46 50.22
,5462,13 37 07.56,-29 49 18.80
,5463,13 37 08.21,-29 49 17.11
,5464,13 37 08.65,-29 55 30.45
,5465,13 37 08.76,-29 53 34.33
,5466,13 37 09.05,-29 49 38.67
,5467,13 37 09.08,-29 51 25.51
,5468,13 37 09.85,-29 50 26.80
,5469,13 37 10.34,-29 49 18.31
,5470,13 37 10.59,-29 49 44.66
,5471,13 37 11.11,-30 03 13.36
,5472,13 37 11.85,-29 48 33.89
,5473,13 37 11.93,-29 48 42.69
,5474,13 37 12.09,-29 49 35.29
,5475,13 37 12.29,-29 48 04.49
,5476,13 37 12.44,-29 51 40.11
,5477,13 37 12.53,-29 51 54.93
,5478,13 37 12.70,-30 05 27.17
,5479,13 37 12.80,-29 43 08.48
,5480,13 37 12.80,-29 50 12.45
,5481,13 37 12.95,-29 45 10.40
,5482,13 37 13.14,-29 52 38.37
,5483,13 37 14.07,-29 49 05.88
,5484,13 37 14.38,-29 51 30.40
,5485,13 37 14.45,-29 51 48.94
,5486,13 37 14.68,-29 49 44.50
,5487,13 37 14.77,-29 54 28.38
,5488,13 37 14.97,-29 51 38.86
,5489,13 37 15.11,-29 47 59.31
,5490,13 37 16.18,-29 56 56.13
,5491,13 37 16.21,-29 52 02.31
,5492,13 37 16.29,-29 41 59.23
,5493,13 37 16.39,-29 49 39.45
,5494,13 37 16.45,-29 46 29.17
,5495,13 37 17.22,-29 51 53.71
,5496,13 37 17.27,-29 53 37.20
,5497,13 37 17.43,-29 51 53.98
,5498,13 37 18.27,-29 43 02.52
,5499,13 37 18.39,-29 51 18.53
,5500,13 37 18.90,-29 50 13.82
,5501,13 37 19.23,-29 57 10.47
,5502,13 37 19.32,-29 48 38.45
,5503,13 37 19.49,-29 49 58.60
,5504,13 37 19.65,-29 51 31.70
,5505,13 37 19.80,-29 53 48.67
,5506,13 37 19.98,-29 53 17.60
,5507,13 37 20.79,-29 50 35.68
,5508,13 37 20.93,-29 47 23.15
,5509,13 37 21.11,-29 52 42.67
,5510,13 37 21.42,-29 51 21.33
,5511,13 37 21.55,-29 57 37.52
,5512,13 37 22.12,-29 52 07.77
,5513,13 37 24.69,-29 58 58.10
,5514,13 37 24.78,-29 48 57.54
,5515,13 37 25.31,-29 49 31.39
,5516,13 37 25.53,-29 54 32.90
,5517,13 37 25.64,-29 49 03.92
,5518,13 37 25.67,-29 53 35.66
,5519,13 37 26.29,-29 49 16.73
,5520,13 37 26.35,-30 00 28.32
,5521,13 37 26.45,-29 48 33.09
,5522,13 37 26.60,-30 01 46.42
,5523,13 37 28.05,-29 42 41.59
,5524,13 37 28.36,-29 55 24.70
,5525,13 37 28.48,-29 54 24.51
,5526,13 37 28.94,-29 49 42.82
,5527,13 37 28.95,-29 44 13.77
,5528,13 37 29.19,-29 52 23.91
,5529,13 37 29.48,-29 50 08.06
,5530,13 37 29.51,-29 50 28.17
,5531,13 37 29.76,-29 52 30.54
,5532,13 37 30.20,-29 48 29.76
,5533,13 37 30.39,-29 43 20.73
,5534,13 37 30.51,-29 59 36.09
,5535,13 37 30.92,-29 42 34.95
,5536,13 37 31.03,-29 43 50.13
,5537,13 37 31.14,-29 51 55.90
,5538,13 37 31.15,-29 42 34.50
,5539,13 37 31.33,-29 51 57.66
,5540,13 37 31.42,-29 52 19.47
,5541,13 37 33.08,-29 51 00.70
,5542,13 37 33.39,-29 55 16.58
,5543,13 37 33.43,-29 57 03.79
,5544,13 37 33.91,-29 59 56.38
,5545,13 37 34.03,-29 56 24.16
,5546,13 37 36.18,-29 51 22.81
,5547,13 37 36.62,-29 48 18.87
,5548,13 37 39.31,-29 43 22.56
,5549,13 37 42.44,-29 49 14.19
,5550,13 37 42.45,-29 51 36.92
,5551,13 37 43.82,-29 58 49.80
,5552,13 37 44.45,-29 53 06.25
,5553,13 37 49.68,-29 55 44.56
,5554,13 37 49.85,-29 52 17.81
,5555,13 37 50.35,-29 56 41.58
,5556,13 37 52.13,-29 42 34.48
,5557,13 37 56.21,-29 41 58.00
,5558,13 37 56.51,-29 47 31.07
,5559,13 37 58.57,-30 05 23.82
,5560,13 38 01.17,-29 44 26.95
,5561,13 38 02.72,-29 49 42.03
,5562,13 38 03.97,-30 00 58.25
,5563,13 38 06.21,-29 44 28.25
M84,5564,12 24 05.42,+12 53 17.29
,5565,12 24 06.14,+12 53 10.01
,5566,12 24 10.64,+12 57 14.83
,5567,12 24 16.10,+12 58 52.59
,5568,12 24 17.24,+12 48 01.95
,5569,12 24 18.99,+12 50 59.29
,5570,12 24 19.36,+12 46 21.31
,5571,12 24 19.63,+13 03 12.86
,5572,12 24 20.59,+13 00 43.79
,5573,12 24 24.55,+12 47 34.30
,5574,12 24 25.43,+12 58 48.71
,5575,12 24 26.91,+12 48 53.07
,5576,12 24 27.32,+12 51 17.96
,5577,12 24 27.39,+12 59 40.55
,5578,12 24 29.73,+13 04 29.25
,5579,12 24 32.91,+12 49 44.37
,5580,12 24 33.14,+13 05 20.73
,5581,12 24 33.65,+12 51 02.09
,5582,12 24 33.66,+12 48 51.42
,5583,12 24 35.50,+12 47 16.62
,5584,12 24 35.75,+12 50 46.85
,5585,12 24 35.90,+12 57 50.73
,5586,12 24 36.23,+12 55 52.58
,5587,12 24 36.39,+12 52 12.54
,5588,12 24 36.84,+13 00 47.47
,5589,12 24 37.01,+12 57 27.57
,5590,12 24 38.82,+12 56 28.09
,5591,12 24 38.99,+12 48 39.99
,5592,12 24 39.54,+13 05 32.31
,5593,12 24 39.68,+12 56 41.79
,5594,12 24 40.44,+13 00 13.47
,5595,12 24 40.64,+12 54 09.73
,5596,12 24 40.96,+12 45 45.97
,5597,12 24 41.12,+12 50 33.98
,5598,12 24 41.49,+12 50 20.33
,5599,12 24 41.58,+12 59 36.02
,5600,12 24 41.64,+12 51 50.78
,5601,12 24 41.65,+12 59 19.90
,5602,12 24 41.67,+12 50 19.74
,5603,12 24 41.88,+12 53 46.24
,5604,12 24 42.11,+12 51 12.03
,5605,12 24 42.70,+12 51 04.96
,5606,12 24 42.96,+12 52 21.83
,5607,12 24 43.14,+12 52 02.63
,5608,12 24 43.17,+12 49 04.61
,5609,12 24 43.26,+12 52 33.27
,5610,12 24 43.27,+13 00 42.01
,5611,12 24 43.33,+12 54 14.38
,5612,12 24 43.99,+12 50 43.56
,5613,12 24 44.21,+13 02 34.04
,5614,12 24 44.34,+13 04 49.32
,5615,12 24 45.77,+12 54 56.24
,5616,12 24 45.85,+12 49 37.55
,5617,12 24 45.96,+12 52 51.22
,5618,12 24 46.59,+12 53 27.04
,5619,12 24 46.68,+12 48 54.67
,5620,12 24 46.91,+12 54 34.96
,5621,12 24 46.96,+13 08 13.65
,5622,12 24 47.00,+12 48 24.34
,5623,12 24 47.07,+13 03 24.85
,5624,12 24 47.16,+12 53 14.47
,5625,12 24 47.53,+12 50 00.74
,5626,12 24 47.72,+12 54 12.72
,5627,12 24 48.16,+12 54 13.30
,5628,12 24 48.35,+12 49 26.13
,5629,12 24 49.02,+13 04 22.79
,5630,12 24 49.67,+13 01 31.14
,5631,12 24 50.12,+12 57 58.23
,5632,12 24 50.22,+12 56 06.03
,5633,12 24 50.30,+12 53 07.29
,5634,12 24 50.52,+12 53 53.95
,5635,12 24 50.54,+13 01 41.52
,5636,12 24 51.22,+12 55 32.10
,5637,12 24 51.24,+12 47 06.25
,5638,12 24 51.28,+12 53 41.75
,5639,12 24 51.36,+12 42 35.19
,5640,12 24 52.17,+12 51 28.63
,5641,12 24 52.18,+13 02 13.64
,5642,12 24 52.27,+12 48 44.82
,5643,12 24 53.02,+12 57 49.89
,5644,12 24 53.37,+12 55 02.86
,5645,12 24 53.38,+12 52 07.79
,5646,12 24 53.56,+12 47 32.57
,5647,12 24 53.61,+12 45 23.21
,5648,12 24 53.68,+12 53 50.81
,5649,12 24 53.78,+12 56 45.71
,5650,12 24 53.89,+13 01 07.00
,5651,12 24 54.16,+12 51 46.45
,5652,12 24 54.40,+12 55 06.63
,5653,12 24 54.43,+13 01 26.87
,5654,12 24 54.61,+12 49 55.50
,5655,12 24 55.03,+12 52 43.70
,5656,12 24 55.18,+13 06 12.26
,5657,12 24 55.42,+12 53 21.11
,5658,12 24 55.50,+12 49 40.11
,5659,12 24 55.69,+12 54 26.57
,5660,12 24 55.73,+12 47 43.29
,5661,12 24 55.75,+12 52 10.25
,5662,12 24 55.86,+12 52 34.12
,5663,12 24 56.10,+12 42 45.53
,5664,12 24 56.15,+12 54 29.65
,5665,12 24 56.49,+12 53 23.86
,5666,12 24 56.67,+12 51 35.49
,5667,12 24 57.08,+12 52 38.19
,5668,12 24 57.16,+12 49 48.27
,5669,12 24 57.17,+12 56 30.12
,5670,12 24 57.24,+12 56 43.54
,5671,12 24 57.27,+13 00 15.97
,5672,12 24 57.36,+13 00 17.96
,5673,12 24 57.75,+12 52 19.00
,5674,12 24 57.80,+12 54 42.98
,5675,12 24 57.81,+12 53 04.55
,5676,12 24 57.91,+12 53 36.30
,5677,12 24 58.11,+12 53 41.93
,5678,12 24 58.26,+12 58 34.52
,5679,12 24 58.44,+12 54 15.01
,5680,12 24 58.62,+12 52 03.85
,5681,12 24 58.74,+12 55 56.74
,5682,12 24 58.93,+12 52 48.65
,5683,12 24 59.08,+12 53 31.18
,5684,12 24 59.11,+13 00 40.75
,5685,12 24 59.55,+12 53 05.73
,5686,12 24 59.83,+12 53 35.62
,5687,12 24 59.88,+12 55 51.64
,5688,12 24 59.90,+12 53 05.70
,5689,12 24 59.90,+12 56 44.39
,5690,12 24 59.96,+12 57 18.38
,5691,12 25 00.02,+12 53 21.13
,5692,12 25 00.21,+12 53 21.05
,5693,12 25 00.26,+12 52 17.31
,5694,12 25 00.28,+12 57 21.22
,5695,12 25 00.47,+12 53 16.80
,5696,12 25 00.48,+12 55 22.82
,5697,12 25 00.56,+12 52 23.85
,5698,12 25 00.67,+12 53 04.97
,5699,12 25 00.70,+12 53 37.72
,5700,12 25 00.94,+12 55 58.58
,5701,12 25 01.04,+12 51 17.74
,5702,12 25 01.16,+12 51 59.85
,5703,12 25 01.27,+12 48 55.08
,5704,12 25 01.28,+12 53 14.70
,5705,12 25 01.38,+12 56 28.52
,5706,12 25 01.52,+12 53 16.89
,5707,12 25 01.58,+12 52 36.03
,5708,12 25 01.72,+12 57 48.35
,5709,12 25 01.74,+12 52 46.82
,5710,12 25 01.74,+12 54 12.57
,5711,12 25 01.78,+12 53 04.39
,5712,12 25 01.84,+13 01 59.28
,5713,12 25 01.85,+12 53 36.53
,5714,12 25 01.88,+12 52 59.91
,5715,12 25 01.88,+12 53 53.15
,5716,12 25 01.89,+12 52 11.23
,5717,12 25 02.00,+12 51 55.17
,5718,12 25 02.05,+12 54 06.59
,5719,12 25 02.08,+12 58 01.72
,5720,12 25 02.09,+12 53 43.34
,5721,12 25 02.11,+12 52 45.68
,5722,12 25 02.15,+12 53 42.51
,5723,12 25 02.33,+12 56 04.95
,5724,12 25 02.36,+12 53 05.52
,5725,12 25 02.46,+12 53 56.72
,5726,12 25 02.50,+12 53 53.99
,5727,12 25 02.53,+12 53 27.01
,5728,12 25 02.56,+12 52 47.32
,5729,12 25 02.62,+12 53 20.17
,5730,12 25 02.63,+12 54 06.76
,5731,12 25 02.73,+12 56 51.44
,5732,12 25 02.80,+12 53 00.56
,5733,12 25 02.82,+12 55 03.04
,5734,12 25 02.94,+12 56 37.75
,5735,12 25 03.10,+12 53 28.23
,5736,12 25 03.18,+12 50 26.94
,5737,12 25 03.23,+12 53 07.42
,5738,12 25 03.24,+12 51 54.67
,5739,12 25 03.25,+12 53 17.61
,5740,12 25 03.30,+12 53 08.80
,5741,12 25 03.30,+12 53 50.71
,5742,12 25 03.31,+12 53 22.05
,5743,12 25 03.34,+12 53 03.10
,5744,12 25 03.37,+12 58 11.36
,5745,12 25 03.39,+12 56 39.77
,5746,12 25 03.49,+12 53 19.10
,5747,12 25 03.56,+12 53 21.48
,5748,12 25 03.61,+12 52 57.76
,5749,12 25 03.70,+12 53 16.18
,5750,12 25 03.74,+12 52 48.53
,5751,12 25 03.74,+12 53 13.20
,5752,12 25 03.74,+12 53 38.82
,5753,12 25 03.77,+12 53 08.56
,5754,12 25 03.81,+12 52 28.60
,5755,12 25 03.86,+12 52 59.01
,5756,12 25 03.87,+12 53 27.02
,5757,12 25 03.90,+12 53 20.09
,5758,12 25 03.91,+12 53 33.13
,5759,12 25 03.93,+12 51 42.41
,5760,12 25 03.97,+12 53 06.43
,5761,12 25 03.98,+12 54 06.31
,5762,12 25 04.00,+12 53 53.76
,5763,12 25 04.13,+12 53 11.68
,5764,12 25 04.14,+12 52 31.74
,5765,12 25 04.14,+12 52 55.58
,5766,12 25 04.14,+12 53 01.50
,5767,12 25 04.26,+12 53 10.02
,5768,12 25 04.28,+12 53 37.35
,5769,12 25 04.29,+12 53 20.80
,5770,12 25 04.34,+12 59 55.29
,5771,12 25 04.37,+12 53 29.25
,5772,12 25 04.51,+12 53 34.07
,5773,12 25 04.54,+12 52 59.42
,5774,12 25 04.67,+12 52 56.38
,5775,12 25 04.68,+12 52 41.90
,5776,12 25 04.71,+12 53 00.70
,5777,12 25 04.72,+12 53 17.32
,5778,12 25 04.78,+12 53 32.81
,5779,12 25 04.89,+12 53 10.84
,5780,12 25 04.90,+12 53 23.14
,5781,12 25 04.98,+12 52 58.15
,5782,12 25 04.99,+12 52 38.44
,5783,12 25 05.14,+12 52 43.16
,5784,12 25 05.18,+12 51 41.08
,5785,12 25 05.19,+12 53 37.11
,5786,12 25 05.24,+12 56 15.37
,5787,12 25 05.28,+12 51 23.32
,5788,12 25 05.38,+12 53 45.25
,5789,12 25 05.39,+12 51 37.59
,5790,12 25 05.39,+12 52 21.27
,5791,12 25 05.42,+12 57 09.69
,5792,12 25 05.45,+12 53 23.65
,5793,12 25 05.48,+12 53 08.28
,5794,12 25 05.64,+12 54 05.47
,5795,12 25 05.73,+12 53 34.07
,5796,12 25 05.78,+12 53 10.91
,5797,12 25 05.82,+12 53 31.40
,5798,12 25 05.93,+12 51 12.33
,5799,12 25 06.01,+12 52 40.49
,5800,12 25 06.12,+12 51 11.65
,5801,12 25 06.13,+12 48 26.96
,5802,12 25 06.13,+13 04 45.41
,5803,12 25 06.29,+12 49 52.45
,5804,12 25 06.29,+12 53 32.32
,5805,12 25 06.31,+12 55 19.77
,5806,12 25 06.32,+12 54 48.46
,5807,12 25 06.40,+12 54 36.19
,5808,12 25 06.50,+12 53 00.38
,5809,12 25 06.60,+12 52 34.05
,5810,12 25 06.66,+12 54 15.95
,5811,12 25 06.81,+12 56 24.61
,5812,12 25 06.85,+12 53 47.80
,5813,12 25 06.92,+12 54 16.48
,5814,12 25 07.13,+12 57 13.92
,5815,12 25 07.16,+12 56 29.69
,5816,12 25 07.46,+12 53 44.33
,5817,12 25 07.50,+12 53 22.95
,5818,12 25 07.59,+12 53 11.75
,5819,12 25 07.63,+12 48 46.16
,5820,12 25 07.80,+12 48 54.58
,5821,12 25 07.86,+12 53 01.04
,5822,12 25 07.88,+12 52 10.81
,5823,12 25 07.91,+12 54 54.67
,5824,12 25 08.08,+12 54 03.31
,5825,12 25 08.10,+12 53 49.86
,5826,12 25 08.18,+12 52 42.35
,5827,12 25 08.19,+12 55 23.08
,5828,12 25 08.24,+12 52 56.08
,5829,12 25 08.58,+12 49 32.76
,5830,12 25 08.67,+12 52 01.98
,5831,12 25 08.69,+13 01 24.22
,5832,12 25 08.72,+12 52 53.73
,5833,12 25 08.76,+12 53 22.98
,5834,12 25 09.10,+12 54 38.15
,5835,12 25 09.29,+12 53 49.49
,5836,12 25 09.37,+12 54 35.62
,5837,12 25 09.47,+12 51 52.17
,5838,12 25 09.58,+12 51 57.71
,5839,12 25 09.65,+12 52 33.70
,5840,12 25 09.75,+12 55 27.79
,5841,12 25 09.80,+12 59 14.00
,5842,12 25 10.75,+12 52 26.48
,5843,12 25 10.89,+12 52 18.35
,5844,12 25 11.01,+12 53 27.88
,5845,12 25 11.40,+12 51 04.84
,5846,12 25 11.90,+12 54 45.87
,5847,12 25 11.92,+12 51 53.64
,5848,12 25 12.07,+12 57 04.06
,5849,12 25 12.84,+12 50 28.01
,5850,12 25 13.33,+12 52 23.51
,5851,12 25 13.41,+12 52 42.73
,5852,12 25 13.72,+12 53 04.62
,5853,12 25 13.80,+12 57 06.34
,5854,12 25 13.83,+12 52 42.94
,5855,12 25 13.83,+12 57 08.87
,5856,12 25 14.06,+12 52 00.35
,5857,12 25 14.63,+12 55 25.71
,5858,12 25 14.69,+12 54 29.01
,5859,12 25 14.80,+12 50 36.04
,5860,12 25 15.02,+13 09 46.64
,5861,12 25 15.07,+12 56 02.53
,5862,12 25 15.21,+12 58 44.91
,5863,12 25 15.24,+12 53 21.63
,5864,12 25 15.65,+12 44 41.01
,5865,12 25 15.71,+12 55 24.69
,5866,12 25 15.75,+12 48 57.98
,5867,12 25 15.99,+12 54 43.67
,5868,12 25 16.55,+12 51 38.97
,5869,12 25 16.61,+12 47 10.69
,5870,12 25 17.04,+12 45 30.82
,5871,12 25 17.05,+13 02 24.82
,5872,12 25 17.13,+12 59 11.31
,5873,12 25 18.27,+12 48 59.34
,5874,12 25 18.37,+12 50 30.97
,5875,12 25 18.43,+12 50 07.49
,5876,12 25 18.72,+12 51 44.42
