Galaxy,Source No.,RA,Dec
,244,05 23 11.54,-69 31 43.10
,245,05 23 12.11,-69 35 25.75
,246,05 23 12.31,-69 27 03.67
,247,05 23 12.50,-69 33 38.26
,248,05 23 13.43,-69 29 20.98
,249,05 23 14.26,-69 33 10.29
,250,05 23 15.46,-69 28 33.33
,251,05 23 15.73,-69 29 51.08
,252,05 23 16.60,-69 30 21.13
,253,05 23 16.87,-69 37 05.08
,254,05 23 16.91,-69 27 57.96
,255,05 23 16.92,-69 31 20.37
,256,05 23 16.97,-69 29 31.61
,257,05 23 17.76,-69 28 58.76
,258,05 23 18.19,-69 30 41.03
,259,05 23 19.08,-69 31 52.48
,260,05 23 19.73,-69 33 43.95
,261,05 23 19.90,-69 28 02.26
,262,05 23 20.74,-69 34 35.40
,263,05 23 20.87,-69 35 52.65
,264,05 23 21.02,-69 30 23.75
,265,05 23 21.18,-69 28 58.64
,266,05 23 23.29,-69 31 30.69
,267,05 23 23.39,-69 28 45.43
,268,05 23 23.81,-69 33 05.72
,269,05 23 25.13,-69 30 36.19
,270,05 23 26.19,-69 30 45.45
,271,05 23 26.41,-69 30 59.69
,272,05 23 26.50,-69 33 00.64
,273,05 23 26.66,-69 31 24.95
,274,05 23 26.74,-69 32 53.03
,275,05 23 26.78,-69 30 32.21
,276,05 23 28.06,-69 31 31.40
,277,05 23 28.38,-69 28 53.80
,278,05 23 28.60,-69 32 13.24
,279,05 23 29.23,-69 31 46.85
,280,05 23 30.27,-69 30 43.75
,281,05 23 31.30,-69 32 07.58
,282,05 23 31.49,-69 34 47.82
,283,05 23 32.48,-69 30 53.00
,284,05 23 32.66,-69 31 56.15
,285,05 23 32.66,-69 32 40.04
,286,05 23 33.95,-69 30 28.12
,287,05 23 34.35,-69 34 13.96
,288,05 23 34.42,-69 31 49.44
,289,05 23 35.02,-69 35 24.34
,290,05 23 35.48,-69 30 00.12
,291,05 23 35.53,-69 28 33.28
,292,05 23 36.03,-69 31 40.51
,293,05 23 36.38,-69 32 25.84
,294,05 23 36.77,-69 31 39.71
,295,05 23 37.66,-69 33 51.92
,296,05 23 37.71,-69 33 06.17
,297,05 23 37.75,-69 29 37.07
,298,05 23 38.11,-69 32 24.19
,299,05 23 38.13,-69 30 02.83
,300,05 23 38.70,-69 33 46.05
,301,05 23 39.10,-69 32 09.96
,302,05 23 39.29,-69 34 43.14
,303,05 23 39.53,-69 32 40.88
,304,05 23 40.01,-69 32 50.49
,305,05 23 41.44,-69 32 32.69
,306,05 23 41.58,-69 32 40.70
,307,05 23 41.81,-69 37 20.65
,308,05 23 42.28,-69 36 32.45
,309,05 23 42.43,-69 34 12.23
,310,05 23 42.53,-69 32 17.76
,311,05 23 42.57,-69 35 00.45
,312,05 23 43.07,-69 39 01.55
,313,05 23 43.26,-69 32 34.22
,314,05 23 43.36,-69 31 17.97
,315,05 23 43.38,-69 34 00.45
,316,05 23 43.65,-69 31 55.49
,317,05 23 44.60,-69 32 52.22
,318,05 23 45.61,-69 30 25.26
,319,05 23 48.10,-69 33 32.04
,320,05 23 48.65,-69 33 28.61
,321,05 23 50.89,-69 34 55.51
,322,05 23 51.12,-69 39 23.66
,323,05 23 53.11,-69 31 19.33
,324,05 23 54.69,-69 33 21.38
,325,05 23 54.69,-69 38 44.63
,326,05 23 54.75,-69 35 43.74
,327,05 23 55.49,-69 35 59.71
,328,05 23 56.48,-69 35 06.22
,329,05 23 56.57,-69 37 54.49
,330,05 23 56.85,-69 35 12.14
,331,05 23 57.17,-69 35 04.60
,332,05 23 57.88,-69 35 28.01
,333,05 23 57.92,-69 35 23.11
,334,05 23 58.11,-69 35 44.64
,335,05 23 58.30,-69 33 28.85
,336,05 23 58.31,-69 39 52.61
,337,05 23 59.05,-69 36 04.76
,338,05 23 59.19,-69 33 29.85
,339,05 24 00.11,-69 35 25.49
,340,05 24 00.11,-69 35 45.42
,341,05 24 00.94,-69 38 10.82
,342,05 24 01.66,-69 31 54.21
,343,05 24 01.72,-69 39 41.12
,344,05 24 01.78,-69 34 54.90
,345,05 24 01.88,-69 35 32.49
,346,05 24 01.89,-69 35 42.20
,347,05 24 01.97,-69 35 38.33
,348,05 24 02.62,-69 34 25.52
,349,05 24 03.31,-69 31 45.14
,350,05 24 03.35,-69 32 50.58
,351,05 24 03.62,-69 38 01.70
,352,05 24 04.20,-69 30 45.63
,353,05 24 04.63,-69 35 28.54
,354,05 24 05.53,-69 35 46.49
,355,05 24 05.79,-69 31 48.39
